City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lindi,9,TZ,1564544953,97,-10.0,39.71,63.26,4.38
Aksu,0,KZ,1564544954,54,52.04,76.93,80.6,8.95
San Luis Rio Colorado,75,MX,1564544954,34,32.47,-114.76,98.6,8.05
Roald,28,NO,1564544954,88,62.58,6.12,64.0,10.29
Tromso,75,NO,1564544796,81,69.65,18.96,46.4,4.7
La Asuncion,0,AR,1564544954,44,-26.05,-65.39,52.1,5.99
Namibe,0,AO,1564544955,77,-15.19,12.15,63.8,1.88
Listvyagi,1,RU,1564544955,73,53.68,86.95,69.92,10.6
Victor Harbor,75,AU,1564544955,47,-35.55,138.62,55.99,5.82
Darnah,0,LY,1564544955,83,32.77,22.64,77.3,15.7
Tsiroanomandidy,0,MG,1564544956,81,-18.77,46.05,62.36,2.66
Provideniya,90,RU,1564544956,93,64.42,-173.23,51.8,11.18
Sal Rei,75,CV,1564544956,83,16.18,-22.92,75.2,10.29
Dwarka,100,IN,1564544956,6,28.58,77.04,88.0,7.96
Kendari,21,ID,1564544957,56,-3.99,122.52,85.4,2.39
Chimichagua,71,CO,1564544957,89,9.26,-73.81,77.48,4.68
Pochutla,5,MX,1564544957,74,15.74,-96.47,82.4,7.34
Bulgan,59,MN,1564544957,54,48.81,103.53,68.84,2.17
Katherine,0,AU,1564544958,25,-14.47,132.26,87.8,14.99
Dunedin,98,NZ,1564544724,70,-45.87,170.5,46.0,24.0
Lyuban,65,BY,1564544958,94,52.8,28.0,49.76,9.62
Sinnar,100,IN,1564544700,87,19.85,74.0,73.16,16.35
Zhongshu,81,CN,1564544958,74,24.52,103.77,72.98,2.64
Lagoa,0,PT,1564544958,38,37.14,-8.45,73.4,4.7
Fortuna,1,US,1564544959,87,40.6,-124.16,62.01,8.05
Okakarara,0,NA,1564544959,29,-20.59,17.46,47.6,7.72
Maues,19,BR,1564544959,62,-3.38,-57.72,76.4,1.83
Katsina,92,NG,1564544959,75,12.99,7.6,76.58,11.97
Northam,0,AU,1564544960,42,-31.65,116.67,66.2,10.29
Adrar,32,DZ,1564544960,21,27.87,-0.29,95.0,17.22
Sychevka,99,RU,1564544960,95,55.83,34.27,44.9,10.83
Burgeo,100,CA,1564544960,85,47.61,-57.61,64.34,5.28
Kaupanger,75,NO,1564544961,100,61.18,7.24,55.99,23.04
San Quintin,74,PH,1564544961,63,17.54,120.52,86.84,3.71
Zhangye,0,CN,1564544961,15,38.94,100.46,76.76,5.73
Artyom,84,RU,1564544961,74,43.36,132.19,84.2,4.47
Mount Isa,100,AU,1564544962,19,-20.73,139.49,78.8,9.17
Henties Bay,0,NA,1564544962,92,-22.12,14.28,51.01,1.01
Jackson,1,US,1564544706,100,32.3,-90.18,75.2,4.18
Irbeyskoye,100,RU,1564544962,70,55.64,95.45,71.18,10.51
Burlatskoye,56,RU,1564544962,68,45.06,43.63,72.44,7.16
Bailesti,0,RO,1564544963,88,44.02,23.35,69.01,4.7
Shimoda,20,JP,1564544963,84,34.7,138.93,93.0,17.22
Svatove,100,UA,1564544963,87,49.42,38.16,65.6,7.87
Tomigusuku,40,JP,1564544963,55,26.18,127.67,91.4,11.41
Wolfsburg,75,DE,1564544964,93,52.42,10.79,66.99,2.24
Lebu,75,ET,1564544964,93,8.96,38.73,55.4,2.24
Poum,0,MK,1564544964,87,41.28,20.71,59.0,5.82
Tacub,100,PH,1564544964,77,8.19,124.11,82.99,1.01
Tshikapa,97,CD,1564544965,21,-6.42,20.79,66.14,4.03
Inta,100,RU,1564544965,96,66.04,60.13,53.18,13.44
Soure,0,PT,1564544965,93,40.06,-8.63,57.2,2.24
Iqaluit,75,CA,1564544965,75,63.75,-68.52,44.6,5.82
Zaozerne,0,UA,1564544966,96,51.37,23.94,60.2,6.71
Requena,75,ES,1564544966,83,39.49,-1.1,75.2,3.36
Newport,90,GB,1564544966,93,51.59,-3.0,62.01,18.34
Havre-Saint-Pierre,90,CA,1564544845,88,50.23,-63.6,62.6,14.99
Inuvik,40,CA,1564544966,45,68.36,-133.71,62.6,6.93
Bexhill,88,GB,1564544967,93,50.84,0.47,63.0,16.11
Meulaboh,47,ID,1564544967,77,4.14,96.13,80.36,7.0
Santa Maria,0,BR,1564544967,63,-16.02,-48.01,64.4,2.66
Sungaipenuh,72,ID,1564544967,64,-2.08,101.38,83.24,3.42
Duku,85,ID,1564544968,80,-1.19,100.47,81.08,11.86
Vostok,99,RU,1564544968,79,46.45,135.83,77.48,10.74
Nikolayevskaya,75,RU,1564544968,60,43.22,44.21,71.6,2.24
Oranjemund,0,ZA,1564544968,79,-28.55,16.43,56.06,4.85
Kaitangata,99,NZ,1564544968,63,-46.28,169.85,46.99,11.99
Tura,0,RU,1564544969,52,64.27,100.22,62.36,8.41
Setermoen,40,NO,1564544969,93,68.86,18.35,46.0,4.7
Druzhnaya Gorka,75,RU,1564544969,93,59.28,30.14,48.2,13.42
Awbari,0,LY,1564544969,15,26.59,12.77,84.32,5.35
Tazovskiy,0,RU,1564544970,62,67.47,78.7,57.32,16.11
Visby,100,SE,1564544970,93,57.64,18.3,50.0,3.36
Beloha,0,MG,1564544970,69,-25.17,45.06,64.7,6.76
East London,0,ZA,1564544970,87,-33.02,27.91,55.4,8.05
Lloydminster,75,CA,1564544971,93,53.28,-110.01,59.0,8.05
Luocheng,34,CN,1564544971,51,28.29,114.55,92.96,3.8
Lasa,20,CY,1564544971,72,34.92,32.53,71.6,8.05
High Rock,0,BS,1564544971,72,26.63,-78.28,85.04,10.63
Muromtsevo,4,RU,1564544972,65,56.37,75.24,67.04,3.53
Seoul,75,KR,1564544776,100,37.57,126.98,78.8,2.24
Buraydah,0,SA,1564544972,27,26.33,43.97,87.8,9.17
Mbandaka,30,CD,1564544972,75,0.05,18.26,72.98,3.2
Araouane,96,ML,1564544973,27,18.9,-3.53,96.2,13.82
Paamiut,100,GL,1564544973,95,61.99,-49.67,38.42,17.96
Najran,40,SA,1564544973,25,17.54,44.22,86.0,6.93
Dotnuva,0,LT,1564544974,93,55.37,23.89,50.0,4.7
Manzhouli,6,CN,1564544974,48,49.6,117.43,74.42,8.43
Kathu,0,ZA,1564544974,72,-27.7,23.05,34.0,6.22
Novobirilyussy,100,RU,1564544974,94,56.95,90.69,64.88,9.75
Marquette,1,US,1564544974,87,46.54,-87.4,59.0,3.49
Goma,89,CD,1564544975,70,-1.67,29.23,55.7,1.45
Makokou,100,GA,1564544975,90,0.56,12.85,67.22,3.98
Cayeli,83,TR,1564544975,92,41.09,40.73,71.72,0.49
Chernyshevskiy,100,RU,1564544976,78,63.01,112.47,62.0,5.06
Saint-Francois,0,FR,1564544976,72,46.42,3.91,60.8,3.36
Opuwo,0,NA,1564544976,71,-18.06,13.84,45.44,1.95
Luanda,40,AO,1564544700,100,-8.83,13.24,66.2,6.93
Beyneu,47,KZ,1564544977,25,45.32,55.19,86.3,7.72
Sao Joao da Barra,0,BR,1564544977,89,-21.64,-41.05,63.08,0.94
Tunceli,0,TR,1564544977,45,39.11,39.55,64.4,3.36
Dickinson,20,US,1564544901,77,46.88,-102.79,73.99,8.05
Prince Rupert,90,CA,1564544915,93,54.32,-130.32,55.4,2.24
Flinders,20,AU,1564544978,54,-34.58,150.85,63.0,11.41
